Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  04-Jan-2016 20:00:00	50.73464	-0.49445	5	2.110	2.450	16.7	5.7	219	 13	10.8
  04-Jan-2016 20:30:00	50.73441	-0.49462	5	1.920	2.750	14.3	5.7	218	 15	10.8
  04-Jan-2016 21:00:00	50.73435	-0.49462	5	1.960	2.740	11.8	5.5	219	 14	10.8
  04-Jan-2016 21:30:00	50.73434	-0.49460	0	1.980	2.940	6.7	5.3	215	 16	10.8
  04-Jan-2016 22:00:00	50.73437	-0.49449	0	1.910	3.580	6.3	5.2	212	 20	10.8
  04-Jan-2016 22:30:00	50.73436	-0.49466	0	2.040	3.510	7.1	5.3	214	 12	10.8
  04-Jan-2016 23:00:00	50.73441	-0.49451	0	1.930	2.720	6.3	5.1	207	 20	10.8
  04-Jan-2016 23:30:00	50.73448	-0.49458	0	2.030	3.040	6.3	5.1	204	 16	10.8
  05-Jan-2016 00:00:00	50.73463	-0.49441	0	2.020	3.480	7.1	5.0	217	 16	10.8
  05-Jan-2016 00:30:00	50.73467	-0.49353	0	2.040	3.230	6.7	5.0	207	 18	10.8
  05-Jan-2016 01:00:00	50.73456	-0.49340	0	2.160	3.450	6.7	5.0	211	 17	10.8
  05-Jan-2016 01:30:00	50.73451	-0.49333	0	2.200	2.930	6.3	4.9	212	 16	10.8
  05-Jan-2016 02:00:00	50.73450	-0.49331	0	2.120	2.720	6.7	4.8	212	 20	10.8
  05-Jan-2016 02:30:00	50.73449	-0.49329	0	2.090	2.830	6.3	4.9	207	 18	10.8
  05-Jan-2016 03:00:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  05-Jan-2016 03:30:00	50.73451	-0.49329	0	2.040	2.960	6.3	4.9	208	 22	10.7
  05-Jan-2016 04:00:00	50.73451	-0.49327	5	1.940	3.230	13.3	5.2	211	 23	10.7
  05-Jan-2016 04:30:00	50.73450	-0.49333	5	1.950	2.840	13.3	5.1	208	 26	10.8
  05-Jan-2016 05:00:00	50.73455	-0.49333	0	2.120	2.780	10.0	5.3	224	 16	10.8
  05-Jan-2016 05:30:00	50.73454	-0.49335	5	2.090	3.110	13.3	5.4	217	 20	10.8
  05-Jan-2016 06:00:00	50.73460	-0.49340	0	1.890	3.090	9.1	5.3	217	 14	10.8
  05-Jan-2016 06:30:00	50.73461	-0.49342	0	2.020	3.010	8.3	5.4	217	 10	10.8
  05-Jan-2016 07:00:00	50.73466	-0.49351	0	1.990	3.180	8.3	5.6	215	 11	10.8
  05-Jan-2016 07:30:00	50.73469	-0.49359	0	2.040	3.020	9.1	5.7	219	 10	10.7
